$id,event,postEvent,effect:CHR,effect:INT,effect:STR,effect:MNY,effect:SPR,effect:LIF,effect:AGE,NoRandom,include,exclude,branch[],branch[],branch[]
10038,你玩父母手机时被诈骗。,损失了父母一年的心血。,,,,-1,-1,,,,(MNY>2)&(INT<8),"EVT?[10011,10024,10016,10017,10038]",SPR<2:10062,,INT>5:10040
10039,你智力迟钝，仍然不会说话。,,,,,,,,,,INT<3,EVT?[10039],,,
10040,你告诉父母后，打电话举报。,损失被追回。,,,,1,,,,1,,,,,
10041,你和村里小孩打架。,战斗力提高了。,,,1,,,,,,EVT?[10009],"EVT?[10002,10025]",STR<3:10000,,STR>9:10042
10042,你失手把一个小孩打死了。,父母赔了很多钱。,,,,-2,-1,,,1,,,SPR<2:10062,,
10043,你想天天吃肉，但父母告诉你吃不起。,,,,,,,,,,(MNY<7)&(EVT?[10009]),EVT?[10043],,,
10044,你喜欢去周围的小池塘边玩。,,,,,,,,,,EVT?[10009],"EVT?[10044,10047,10025,10180]",,,
10045,你有次去池塘边玩时掉进了水里。,差点淹死。,,,,,,,,,"EVT?[10044,10047,10180]",EVT?[10045],TLT?[1016]:10046,,STR<7:10000
10046,还好你会游泳，没淹死。,,,,,,,,,1,,,,,
10047,你在周围的池塘钓到了几只小龙虾。,,,,,,1,,,,EVT?[10009],"EVT?[10025,10047]",,,
10048,你的绘画天赋好像不错。,,,,,,,,,,,EVT?[10048],(EVT?[10009])&(CHR<3):20048,,
20048,有亲戚笑你画的比长的好看多了。,,,,,,,,,1,,,,,
10049,你的音乐天赋好像不错。,,,,,,,,,,,EVT?[10049],(EVT?[10009])&(CHR<3):20049,,
20049,有亲戚遗憾地说你声音很好听，可惜长得太丑了。,,,,,,,,,1,,,,,
10050,你的数学天赋好像不错。,,,,,,,,,,INT>8,EVT?[10050],,,
10051,你偷了父母的零钱去买零食。,,,,,,,,,,EVT?[10009],EVT?[10051],,,
10052,你追得家里的动物鸡飞狗跳。,,,,,,,,,,(STR>3)&(EVT?[10009]),EVT?[10052],,,
10053,姐姐拿她的旧衣服给你穿。,,,,,,,,,,(MNY<6)&(EVT?[10009]),(EVT?[10053])|(TLT?[1011]),(CHR>6)&(EVT?[10001]):20053,,
20053,虽然你是男孩子，但并不抗拒。,,,,,,,,,1,,,,,
20054,你喜欢上了女装。,,1,,,,1,,,,EVT?[20053],EVT?[20054],,,
20055,你业余时间在家当女装主播。,,,,,1,,,,,EVT?[20054],EVT?[20055],MNY<6:20056,,
20056,并且有时还接单。,,,,,2,,,,1,,,,,
10054,你经常在田里玩。,,,1,,,,,,,EVT?[10009],EVT?[10025],,,INT>7:10055
10055,你对自然规律有所观察。,,,,,,,,,1,,,,,INT>9:10056
10056,你对植物和养生有所领悟。,,,,2,,,,,1,,,,,
10057,你开始下地干农活。,,,,,,,,,,EVT?[10009],"EVT?[10057,10025]",,,
10058,下暴雨，发洪水。,田都被淹了。,,,,-1,,,,,EVT?[10009],"EVT?[10058,10025]",TLT?[1016]:10046,,CHR<4:10000
10059,大旱灾，颗粒无收。,,,,,-1,,,,,EVT?[10009],"EVT?[10059,10025]",,,MNY<3:10013
10060,发生蝗灾，颗粒无收。,,,,,-1,,,,,EVT?[10009],"EVT?[10060,10025]",,,MNY<3:10013
10061,一个人在家，非常寂寞。,,,,,,-1,,,,EVT?[10024],EVT?[10025],,,SPR<2:10062
10062,你的情绪越来越低落，尝试自杀。,没有成功。,,,,,,,,1,,,,,SPR<1:10000
10063,你的爷爷奶奶只想要男孩，把你活埋了。,,,,,,,,,,(CHR<3)&(MNY<3)&(EVT?[10009]),"(EVT?[10063,10001])|(TLT?[1015])",,,MNY<3:10000
10064,你被卖给了人贩子。人贩子运送路上你很虚弱。,,,,,,,,,,(STR<3)&((MNY<3)&(EVT?[10009]),"(EVT?[10064,10001,10019])|(TLT?[1015])",,,STR<3:10000
10065,空气很新鲜，生活很健康。,,,,1,,,,,,EVT?[10009],"EVT?[10065,10025]",,,
10066,你的生活很自由，没有什么束缚。,,,,,,1,,,,EVT?[10009],EVT?[10066],,,
10067,有一只鸟撞在了你家窗户上。,你把它养好后放了。,,,,,,,,,EVT?[10009],EVT?[10067],,,INT<6:10068
10068,你把它炖了吃了。,,,,,,,,,1,,,,,
10069,平平淡淡，没有什么特别的事。,,,,,,,,,,,,,,
10070,可能是运气不佳，这年里有好多小事让你烦心。,,,,,,-1,,,,,"EVT?[10646,10655]",,,(INT<6)&(SPR<2):10062
10071,比较顺风顺水，快乐的一年。,,,,,,1,,,,,,,,
10072,有天打雷，劈断了你家门口一棵树。,,,,,,,,,,EVT?[10009],"EVT?[10072,10025]",,,
10073,你意外挖到一个上了锁的盒子。,你打不开，只好扔了。,,,,,,,,,EVT?[10009],"EVT?[10073,10025]",,,INT>8:10074
10074,你想方设法打开了锁。,里面有大量珠宝。,,,,2,2,,,1,,,,,
10075,你的运动天赋好像不错。,,,,,,,,,,STR>8,EVT?[10075],INT<3:20075,,
20075,可惜智力低了些。,,,,,,,,,1,,,,,
10076,你发现动物好像都不怎么害怕你。,,,,,,,,,,(CHR>9)&(EVT?[10009]),"EVT?[10076,10052]",,,
10077,你发现你和其他人的想法好像都不一样。,,,,,,,,,,INT>9,"EVT?[10077,10090]",,,
10078,你们家成为村里最富的家庭。,,,,,,,,,,(MNY>7)&(EVT?[10009]),"EVT?[10078,10025]",,,
10079,你的高颜值已经在周边家喻户晓。,,,,,,,,,,(CHR>7)&(EVT?[10009]),EVT?[10079],,,
10080,有人将你发在了网上，你小有名气。,很多人来你家拍短视频。,,,,,,,,,(CHR>8)&(EVT?[10079]),EVT?[10080],,,
10081,有星探和公司想带你去大城市发展。,你没有同意。,,,,,,,,,EVT?[10080],EVT?[10081],,,STR>5&MNY<5:10082
10082,你来到了一线城市，住进了一家网络公司。,你开始直播生活。,,,,2,1,,,1,,,,,
10083,你过气了，被公司解除了协议。,你回到了乡下。,,,,,,,,,EVT?[10082],EVT?[10083],,,"(INT<6)&(EVT?[10002,10111]):10084"
10084,你过惯了奢靡的生活，无法再回乡下了。,你开始出卖身体维持生活质量。,,,-1,,1,,,1,,,,,
10085,你患上了艾滋病。,,,,-5,,-2,,,,"EVT?[10084,10162,10219,20056]","(EVT?[10085,10087])|(TLT?[1017])",,,STR<1:10000
10086,你的病情逐渐加重。,,,,-3,,-1,,,,EVT?[10085],,,,STR<1:10000
10087,你已经财务自由，不再出卖身体。,,,,,2,,,,,"EVT?[10084,20056]",EVT?[10087],,,
10088,你嫁给了一个普通的程序员。,,,,,,2,,,,EVT?[10087],(EVT?[10088])|(TLT?[1027]),,,
10089,国家扶贫，你家获得了帮助。,,,,,1,1,,,,(MNY<4)&(EVT?[10009]),,,,
10090,你的智力过高，被外星人抓走做实验。,又放了回来。,,-1,-1,,-1,,,,INT>9,EVT?[10090],,,STR<5:10000
10091,你经常在家搞些小发明。,,,1,,,,,,,(INT>7)&(EVT?[10009]),EVT?[10091],(INT>9)&(CHR<3):20091,,MNY<3:20092
20091,你发明了颜值提升机，大幅提高了颜值。,,5,,,,,,,1,,,,,
20092,你发明了许多有用的小东西，卖了不少钱。,,,,,2,,,,1,,,,,
10092,你被一只蛇咬了。,还好没有毒。,,,,,,,,,EVT?[10009],EVT?[10092],,,(STR<3)&(TLT![1022]):10000
10093,你第一次被父母打。,,,,,,-1,,,,,"(EVT?[10093,10016,10017,10144,10024])|(TLT?[1015])",,,
10094,你第一次坐在躺椅上，看灿烂的银河星空,,,,,,1,,,,EVT?[10009],"EVT?[10094,10025]",,,
10095,你在晚上和小伙伴一起捉萤火虫。,,,,,,1,,,,EVT?[10009],"EVT?[10095,10025]",,,
10096,你听说国外发生了很多大事。,但感觉离你很遥远。,,,,,,,,,EVT?[10009],EVT?[10096],,,
10097,隔壁村的一个孩子淹死了。,你的父母一年都没让你去池塘玩。,,,,,,,,,EVT?[10009],"EVT?[10097,10015,10016,10017,10024]",,,
10098,你听了轮回转世的神话故事。,感觉好像似曾相识。,,,,,,,,,INT>4,EVT?[10098],,,
10099,你徒手抓住了一只老鼠。,,,,,,1,,,,(INT>6)&(STR>6)&(EVT?[10009]),EVT?[10099],,,
10100,你常常坐在家门口发呆，十分无聊。,,,,,,,,,,EVT?[10009],"EVT?[10100,10036,10037]",,,
10101,你开始上小学了。,,,,,,,,,,EVT?[10009],EVT?[10101],,,
10102,你在学校交到了新朋友。,,,,,,,,,,(INT>2)&(CHR>2)&(EVT?[10101]),EVT?[10102],,,
10103,你第一次接触英语。,,,,,,,,,,EVT?[10101],EVT?[10103],,,
10104,你们的数学老师是一个支教老师。,,,1,,,,,,,EVT?[10101],"EVT?[10104,10025]",,,
10105,学校老师太少，你们的体育老师还教你们语文课。,,,-1,,,,,,,EVT?[10101],"EVT?[10105,10025]",,,
10106,你期末考试考了100分。,,,,,,,,,,(INT>7)&(EVT?[10101]),EVT?[10106],,,
10107,你期末考试全都不及格。,老师来家访。,,,,,-1,,,,(INT<3)&(EVT?[10101]),EVT?[10107],,,
10108,你当上了体育课代表。,,,,,,,,,,(STR>7)&(EVT?[10101]),EVT?[10108],,,
10109,你在同学中非常受欢迎。,,,,,,1,,,,(CHR>7)&(EVT?[10101]),"EVT?[10109,10113,10114]",,,
10110,你出生了，是极为罕见的无性人。,,,,,,,,,,,"TLT?[1003,1004,1024,1113]",,,
10111,你出生了，是极为罕见的双性人。,,,,,,,,,,,"TLT?[1003,1004,1025]",,,
10112,同学总是欺负你。,还嘲笑你的长相。,,,,,-2,,,,(CHR<3)&(EVT?[10101]),(EVT?[10112])|(TLT?[1037]),,,
10113,同学总是欺负你。,还嘲笑你的成绩。,,,,,-2,,,,(INT<3)&(EVT?[10101]),"(EVT?[10113,10109])|(TLT?[1037])",,,
10114,同学总是欺负你。,嘲笑你不男不女。,,,,,-2,,,,"(EVT?[10101])&(EVT?[10110,10111])","(EVT?[10114,10109])|(TLT?[1037])",,,
10115,你和同桌偷偷谈起了恋爱。,,,,,,1,,,,(INT>2)&(CHR>4)&(EVT?[10101]),"(EVT?[10115,10116,10110,10111])|(TLT?[1026,1027])",,,
10116,你和同桌悄悄谈起了恋爱。,,,,,,1,,,,(INT>1)&(CHR>3)&(EVT?[10101])&(TLT?[1028]),"(EVT?[10115,10116,10110,10111])|(TLT?[1026,1027])",,,
10117,你当上了班长。,,,,,,1,,,,(CHR>3)&(INT>6)&(EVT?[10101]),EVT?[10117],,,
10118,你当上了领操员。,,,,,,,,,,(CHR>3)&(STR>6)&(EVT?[10101]),EVT?[10118],,,
10119,你为班级出了一次黑板报。,,,,,,,,,,(EVT?[10048])&(EVT?[10101]),EVT?[10119],,,
10120,你们班收到了捐赠的书籍文具。,,,,,,,,,,EVT?[10101],"EVT?[10120,10025,10120]",,,
10121,你们班建立了读书角。,,,,,,,,,,EVT?[10101],EVT?[10121],,,
10122,学校里盖了一座新楼。,,,,,,,,,,EVT?[10101],"EVT?[10122,10025]",,,
10123,村中阿婆家新盖了小洋房。,听说是孩子在外面赚了大钱。,,,,,,,,,EVT?[10009],"EVT?[10123,10025]",,,
10124,夏日的一天村里鞭炮齐鸣。,听说是人家的孩子考上了重点大学。,,,,,,,,,EVT?[10009],"EVT?[10124,10025]",,,
10125,你的父亲意外去世。,,,,,-2,-2,,,,EVT?[10009],"(EVT?[10017,10125])|(TLT?[1029])",,,
10126,你的母亲意外去世。,,,,,-1,-2,,,,EVT?[10009],"(EVT?[10016,10126])|(TLT?[1029])",,,
10127,你的爷爷因病去世。,,,,,,-1,,,,EVT?[10009],EVT?[10127],,,
10128,你的奶奶因病去世。,,,,,,-1,,,,EVT?[10009],EVT?[10128],,,
10129,你很努力学习，但成绩就是提不上去。,,,,,,-1,,,,(INT<4)&(EVT?[10101]),EVT?[10129],,,
10130,今年大丰收，而且你家种的菜也涨价了。,,,,,1,1,,,,EVT?[10009],EVT?[10130],,,
10131,你获得了第一份奖状。,,,,,,1,,,,(INT>4)&(EVT?[10101]),"EVT?[10131,10132,10133]",,,
10132,你获评三好学生。,,,,,,1,,,,(STR>5)&(INT>5)&(EVT?[10101]),,,,
10133,你获评三好标兵。,,,,,,2,,,,(STR>7)&(INT>7)&(EVT?[10101]),,,,
10134,有同学在班上炫耀新玩具，被老师没收了。,,,,,,,,,,EVT?[10101],EVT?[10134],,,
10135,你前排的同学在课上偷偷玩手机。,,,,,,,,,,EVT?[10101],EVT?[10135],,,
10136,老师在班上进行了IQ测试。,你获得了145分,,,,,,,,,(INT>7)&(EVT?[10101]),EVT?[10136],,,
10137,老师在班上进行了IQ测试。,你获得了135分,,,,,,,,,(INT>6)&(EVT?[10101]),EVT?[10137],,,
10138,努力学习的一年，能感受到水平的提高。,,,1,,,,,,,(INT>3)&(EVT?[10101]),EVT?[10138],,,
10139,没有用功学习的一年，能感受到水平的下降。,,,-1,,,,,,,(INT<8)&(EVT?[10101]),EVT?[10139],,,
10140,你家养的狗被人毒死了。,,,,,,-1,,,,EVT?[10009],"(EVT?[10140,10141])|(TLT?[1030])",,,
10141,你家养的猫被人毒死了。,,,,,,-1,,,,EVT?[10009],"(EVT?[10140,10141])|(TLT?[1030])",,,
10142,家里老鼠蟑螂泛滥成灾。,,,,,,,,,,(MNY<5)&(EVT?[10009]),,,,
10143,隔壁的村花和邻居叔叔结婚了。,,,,,,,,,,EVT?[10009],"EVT?[10143,10031,10025]",,,
10144,你天天被父母殴打。,,,,,,-2,,,,EVT?[10009],"(EVT?[10093,10016,10019,10017,10144,10125,10126,10024])|(TLT?[1015])",,,
10145,成为了弹弓高手，一弹一鸟。,,,,,,,,,,(INT>3)&(STR>5)&(EVT?[10009]),"EVT?[10145,10002,10025]",,,
10146,在田里插秧时，总是被水蛭叮咬。,,,,,,,,,,EVT?[10009],"EVT?[10146,10002,10025]",,,
10147,村子里基本没几个年轻人了。,,,,,,,,,,EVT?[10009],"EVT?[10147,10025]",,,
10148,你家装上了全村唯一的wifi，总有人来问密码。,,,,,,,,,,(MNY>6)&(EVT?[10009]),"EVT?[10148,10024]",,,
10149,教室里唯一较好的窗户也破了。,下雨天靠窗完全不能坐人了。,,,,,,,,,EVT?[10101],"EVT?[10149,10025]",,,
10150,你家的屋檐上多了个燕子窝。,,,,,,,,,,EVT?[10009],EVT?[10150],,,
10151,教室窗外多了个马蜂窝。,,,,,,,,,,EVT?[10101],EVT?[10151],,,
10152,你的床板塌了，只能睡桌椅上了。,,,,-1,,,,,,EVT?[10009],EVT?[10152],,,
10153,你突然生了场大病。,,,,-2,-1,-1,,,,(STR<5)&(EVT?[10009]),EVT?[10153],,,STR<1:10000
10154,你总是遭遇校园暴力。,,,,,,-2,,,,(STR<6)&(EVT?[10009]),"(EVT?[10109,10154])|(TLT?[1037])",,,SPR<2:10062
10155,你家人让你辍学打工，为弟弟攒彩礼钱。,,,,,,,,,,(EVT?[10014])&(EVT?[10101]),"(EVT?[10155,10156])|(TLT?[1015])",,,
10156,你家人让你能辍学打工，补贴家用。,,,,,,,,,,(MNY<5)&(EVT?[10101]),"(EVT?[10155,10156])|(TLT?[1015])",,,
10157,你在城里找到了一份工作。,,,,,,,,,,"EVT?[10155,10156,10025]",EVT?[10157],,,
10158,你买彩票中了个小奖。,虽然钱不多但很快乐。,,,,,1,,,,EVT?[10157],EVT?[10158],,,
10159,你买彩票中了个大奖。,,,,,2,2,,,,EVT?[10157],EVT?[10159],,,
10160,你留了一级。,,,,,,,,,,(INT<4)&(EVT?[10101]),"EVT?[10160,10025,10156,10155]",,,
10161,你遭到了同事的性骚扰。,,,,,,-1,,,,(CHR>6)&(EVT?[10157]),,,,
10162,你遭到了同事的性侵。,,,,,,-2,,,,(STR<5)&(CHR>8)&(EVT?[10157]),,,,
10163,过年时拜访了几十家亲戚。,,,,,,,,,,(STR>1)&(EVT?[10009]),"EVT?[10163,10025,10156,10155]",,,
10164,家里茅坑废弃了，换成了马桶。,,,,,,,,,,(MNY>4)&(EVT?[10009]),"EVT?[10164,10025,10156,10155]",,,
10165,通了自来水，家里的井不再使用。,,,,,,,,,,(MNY>3)&(EVT?[10009]),"EVT?[10164,10165,10025,10156,10155]",,,
10166,半夜发烧，爸妈路边等公交车送你去县城医院.,,,,,,,,,,(STR<5)&(MNY<5)&(EVT?[10009]),"EVT?[10166,10015,10016,10017,10125,10126]",,,
10167,用牙齿咬欺凌自己的人，反而被告老师。,很委屈。,,,,,-1,,,,"EVT?[10154,10112,10113,10114]",EVT?[10167],,,
10168,被老人讲的鬼故事吓到。,,,,,,,,,,EVT?[10009],"EVT?[10168,10127,10128]",,,
10169,买小卖部的零食吃，第二天拉肚子发烧。,,,,,,,,,,(STR<5)&(MNY>2)&(EVT?[10009]),EVT?[10169],,,
10170,被同学取难听的外号。,,,,,,-1,,,,(STR<9)&(MNY<9)&(EVT?[10101]),"(EVT?[10170,10109])|(TLT?[1037])",,,
10171,过年玩鞭炮被炸伤。,,,,,,,,,,EVT?[10009],"EVT?[10171,10002]",,,
10172,在外面玩到晚上，被爸妈抓了回来。,,,,,,,,,,EVT?[10009],"EVT?[10172,10015,10016,10017,10125,10126]",,,
10173,学自行车摔得膝盖流血。,没学会。,,,,,,,,,(STR<4)&(EVT?[10009]),TLT?[1038],,,
10174,尝试自学自行车。,没学会。,,,,,,,,,(INT<5)&(STR<5)&(EVT?[10009]),TLT?[1038],,,
10175,尝试自学自行车。,学会了。,,,,,,,,,(INT>1)&(STR>1)&(EVT?[10009]),EVT?[10175],,,
10176,想买和同学同款的玩具，但买不起。,,,,,,,,,,(MNY<4)&(EVT?[10101]),EVT?[10176],,,
10177,被爸爸带去打麻将到半夜，睡着了还没回家。,,,,,,,,,,EVT?[10009],"EVT?[10177,10015,10017,10125]",,,
10178,学着帮家里喂牲畜。,,,,,,,,,,EVT?[10009],EVT?[10178],,,
10179,下完雨退潮去河边捡田螺。,,,,,,,,,,EVT?[10009],EVT?[10179],,,
10180,去池塘电鱼吃。,,,,,,,,,,EVT?[10009],"EVT?[10180,10025,10156,10155]",,,
10181,上山剪橘子差点掉下山。,,,,,,,,,,EVT?[10009],"EVT?[10181,10025,10156,10155]",,,
10182,被路上的狗堵路追着跑。,,,,,,,,,,(STR>2)&(CHR<9)&(EVT?[10009]),"EVT?[10182,10183]",,,
10183,被野狗咬了，去县城打狂犬疫苗。,,,,,,-1,,,,(MNY>2)&(CHR<9)&(EVT?[10009]),EVT?[10183],,,
10184,考上县城初中，每天要走很远去上学。,,,,,,,,,,(INT>4)&(MNY>2)&(EVT?[10101]),"EVT?[10184,10025,10156,10155]",,,
10185,考上县城初中，但是上不起。,,,,,,,,,,(INT>4)&(MNY<3)&(EVT?[10101]),"EVT?[10185,10025,10156,10155]",,,
10186,班上大多数都是混混的，课都上不成。,,,,,,,,,,EVT?[10101],"EVT?[10184,10025,10156,10155]",TLT?[1108]:20186,,
20186,你的性格也很叛逆，和他们一见如故。,,,,,,,,,1,,,,,
10187,被坏同学影响，开始抽烟喝酒去游戏厅。,,,,,,1,,,,EVT?[10101],"EVT?[10184,10187,10025,10156,10155]",,,
10188,开始去网吧，沉迷游戏。,,,,,,1,,,,EVT?[10009],"EVT?[10188,10194,10002]",,,
10189,沉迷二次元，天天追新番。,,,,,,1,,,,"EVT?[10007,10008]",EVT?[10189],,,
10190,游戏水平很高，远近网吧闻名。,网吧老板允许你免费上网。,,,,,1,,,,"(STR>2)&(INT>7)&(EVT?[10188,10194])",EVT?[10190],,,
10191,被公司发掘，进入电竞培训队。,前往大城市。,,,,,,,,,"EVT?[10190,10942]",EVT?[10191],,,
10192,开始为战队打比赛。,但并没有打出什么成绩。,,,-1,,-1,,,,EVT?[10191],EVT?[10192],TLT?[1039]:10193,,SPR>6:10193
10193,连续夺得大奖。,,,,-2,2,2,,,1,,,,,
10194,开始去网吧，沉迷游戏。,,,,,,,,,,(TLT?[1039])&(EVT?[10009]),"EVT?[10194,10188]",,,
10195,巅峰时期退役。,转行游戏主播。,,,,,,,,,EVT?[10193],"EVT?[10195,10196,10197]",,,
10196,继续打比赛。,,,,-1,,,,,,(STR>3)&(EVT?[10192]),"EVT?[10195,10196,10197]",,,
10197,退役。,转行游戏主播。,,,,,,,,,EVT?[10192],"EVT?[10195,10196,10197]",,,
10198,中考考的很差，没考上高中。,,,,,,,,,,"(EVT?[10009])&(INT<4)&(EVT?[10188,10187,10186,10189])","EVT?[10198,10199,10200,10025,10156,10155]",,,
10199,中考考的一般，上了县里的高中。,,,,,,,,,,EVT?[10101],"(INT<3)|(EVT?[10198,10200,10199,10025,10156,10155])",,,
10200,中考考的很好，上了城里的好高中。,,,,,,,,,,(MNY>2)&(INT>5)&(EVT?[10101]),"(INT<6)|(EVT?[10198,10200,10199,10025,10156,10155])",,,
10201,打篮球、踢足球受伤。,,,,,,,,,,(STR>4)&(MNY>2)&(EVT?[10101]),"(STR>9)|(EVT?[10201,10002])",,,
10202,被视察的体校教练发掘。去体校训练。,,,,,,,,,,(STR>6)&(EVT?[10184]),EVT?[10202],,,
10203,进入省队。,刻苦训练。,,,,,,,,,"EVT?[10202,10939]","EVT?[10203,10204]",,,SPR>8:10204
10204,表现突出，进入国家队。,,,,,,1,,,1,,,,,
10205,刻苦训练。,,,,1,,,,,,EVT?[10203],"EVT?[10205,10204]",,,SPR>8:10204
10206,刻苦训练。,,,,,,,,,,EVT?[10203],EVT?[10206],,,
10207,参加奥运会。,夺得奖牌。,,,,1,1,,,,EVT?[10204],,,,SPR>9:10208
10208,夺得金牌。,,,,,,1,,,1,,,,,SPR>10:10209
10209,并打破世界纪录。,,,,,,1,,,1,,,,,
10210,退役。,开始当教练。,,,,,,,,,EVT?[10203],EVT?[10210],,,
10211,和男同学谈恋爱。,,,,,,1,,,,"(EVT?[10009])&((EVT?[10002,10110,10111])|(TLT?[1026]))","(EVT?[10211,10198,10025,10156,10155])|(TLT?[1027])|((EVT?[10002])&(TLT?[1026]))",,,
